key_resp_2.keys,key_resp_2.rt,key_resp.keys,key_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials.order,Sure,OptionOne,OptionTwo,Risk,Risk2,AmbiguityBarH,Ambiguity,SureXPos,RiskXPos,OptionOneXPos,OptionTwoXPos,RiskX,participant,date,expName,psychopyVersion,OS,frameRate
space,10.07700014,left,5.820000172,1,0,160,19,1,159,-5,-5,0,50,50,0,0,0.5,-0.5,-0.5,-0.5,-0.5,,2020-07-09_16h49.48.637,Tymula Experiment,3.2.3,MacIntel,60
,,left,6.476000309,1,0,160,12,1,159,5,5,0,75,25,0,0,-0.5,0.5,0.5,0.5,0.5,,2020-07-09_16h49.48.637,Tymula Experiment,3.2.3,MacIntel,60
,,right,1.950000048,1,0,160,99,1,159,50,50,0,50,50,0,0,0.5,-0.5,-0.5,-0.5,-0.5,,2020-07-09_16h49.48.637,Tymula Experiment,3.2.3,MacIntel,60
,,left,5.605000257,1,0,160,28,1,159,-5,-5,0,75,25,0,0,-0.5,0.5,0.5,0.5,0.5,,2020-07-09_16h49.48.637,Tymula Experiment,3.2.3,MacIntel,60
,,left,7.083000183,1,0,160,63,1,159,-8,-8,0,13,13,0.481,74,0.5,-0.5,-0.5,-0.5,-0.5,,2020-07-09_16h49.48.637,Tymula Experiment,3.2.3,MacIntel,60
,,left,3.981000185,1,0,160,142,1,159,125,125,0,25,25,0.325,50,-0.5,0.5,0.5,0.5,0.5,,2020-07-09_16h49.48.637,Tymula Experiment,3.2.3,MacIntel,60
,,left,2.467000246,1,0,160,0,1,159,5,5,0,13,87,0,0,-0.5,0.5,0.5,0.5,0.5,,2020-07-09_16h49.48.637,Tymula Experiment,3.2.3,MacIntel,60
,,left,2.167000055,1,0,160,36,1,159,8,8,0,75,25,0,0,-0.5,0.5,0.5,0.5,0.5,,2020-07-09_16h49.48.637,Tymula Experiment,3.2.3,MacIntel,60
,,right,2.012000322,1,0,160,129,1,159,125,125,0,25,75,0,0,0.5,-0.5,-0.5,-0.5,-0.5,,2020-07-09_16h49.48.637,Tymula Experiment,3.2.3,MacIntel,60
,,left,1.743000269,1,0,160,11,1,159,5,5,0,50,50,0,0,-0.5,0.5,0.5,0.5,0.5,,2020-07-09_16h49.48.637,Tymula Experiment,3.2.3,MacIntel,60
,,left,3.141000271,1,0,160,51,1,159,-8,-8,0,50,50,0,0,0.5,-0.5,-0.5,-0.5,-0.5,,2020-07-09_16h49.48.637,Tymula Experiment,3.2.3,MacIntel,60
,,right,3.553000212,1,0,160,119,1,159,-50,-50,0,13,13,0.481,74,-0.5,0.5,0.5,0.5,0.5,,2020-07-09_16h49.48.637,Tymula Experiment,3.2.3,MacIntel,60
,,right,4.090000153,1,0,160,136,1,159,125,125,0,13,87,0,0,0.5,-0.5,-0.5,-0.5,-0.5,,2020-07-09_16h49.48.637,Tymula Experiment,3.2.3,MacIntel,60
,,right,6.785000324,1,0,160,27,1,159,-5,-5,0,50,50,0,0,-0.5,0.5,0.5,0.5,0.5,,2020-07-09_16h49.48.637,Tymula Experiment,3.2.3,MacIntel,60
,,right,6.042000294,1,0,160,23,1,159,-5,-5,0,13,13,0.481,74,-0.5,0.5,0.5,0.5,0.5,,2020-07-09_16h49.48.637,Tymula Experiment,3.2.3,MacIntel,60
,,right,4.267000198,1,0,160,15,1,159,5,5,0,13,13,0.481,74,0.5,-0.5,-0.5,-0.5,-0.5,,2020-07-09_16h49.48.637,Tymula Experiment,3.2.3,MacIntel,60
,,right,3.974000216,1,0,160,59,1,159,-8,-8,0,50,50,0,0,-0.5,0.5,0.5,0.5,0.5,,2020-07-09_16h49.48.637,Tymula Experiment,3.2.3,MacIntel,60
,,left,2.140000105,1,0,160,159,1,159,-125,-125,0,13,13,0.481,74,0.5,-0.5,-0.5,-0.5,-0.5,,2020-07-09_16h49.48.637,Tymula Experiment,3.2.3,MacIntel,60
,,left,3.766000032,1,0,160,71,1,159,20,20,0,13,13,0.481,74,-0.5,0.5,0.5,0.5,0.5,,2020-07-09_16h49.48.637,Tymula Experiment,3.2.3,MacIntel,60
,,right,1.726000071,1,0,160,13,1,159,5,5,0,38,38,0.156,24,0.5,-0.5,-0.5,-0.5,-0.5,,2020-07-09_16h49.48.637,Tymula Experiment,3.2.3,MacIntel,60
,,right,3.605000257,1,0,160,87,1,159,-20,-20,0,13,13,0.481,74,-0.5,0.5,0.5,0.5,0.5,,2020-07-09_16h49.48.637,Tymula Experiment,3.2.3,MacIntel,60
,,right,2.631000042,1,0,160,47,1,159,8,8,0,13,13,0.481,74,0.5,-0.5,-0.5,-0.5,-0.5,,2020-07-09_16h49.48.637,Tymula Experiment,3.2.3,MacIntel,60
,,right,1.920000076,1,0,160,149,1,159,-125,-125,0,38,38,0.156,24,-0.5,0.5,0.5,0.5,0.5,,2020-07-09_16h49.48.637,Tymula Experiment,3.2.3,MacIntel,60
,,right,4.481000185,1,0,160,146,1,159,-125,-125,0,38,62,0,0,-0.5,0.5,0.5,0.5,0.5,,2020-07-09_16h49.48.637,Tymula Experiment,3.2.3,MacIntel,60
,,left,4.499000072,1,0,160,90,1,159,-20,-20,0,38,62,0,0,0.5,-0.5,-0.5,-0.5,-0.5,,2020-07-09_16h49.48.637,Tymula Experiment,3.2.3,MacIntel,60
,,left,1.890000105,1,0,160,152,1,159,-125,-125,0,13,87,0,0,0.5,-0.5,-0.5,-0.5,-0.5,,2020-07-09_16h49.48.637,Tymula Experiment,3.2.3,MacIntel,60
,,left,1.836000204,1,0,160,113,1,159,-50,-50,0,25,75,0,0,0.5,-0.5,-0.5,-0.5,-0.5,,2020-07-09_16h49.48.637,Tymula Experiment,3.2.3,MacIntel,60
,,right,2.507000208,1,0,160,124,1,159,-50,-50,0,75,25,0,0,-0.5,0.5,0.5,0.5,0.5,,2020-07-09_16h49.48.637,Tymula Experiment,3.2.3,MacIntel,60
,,left,2.365000248,1,0,160,120,1,159,-50,-50,0,13,87,0,0,0.5,-0.5,-0.5,-0.5,-0.5,,2020-07-09_16h49.48.637,Tymula Experiment,3.2.3,MacIntel,60
,,right,4.921000242,1,0,160,126,1,159,-50,-50,0,25,25,0.325,50,-0.5,0.5,0.5,0.5,0.5,,2020-07-09_16h49.48.637,Tymula Experiment,3.2.3,MacIntel,60
,,left,1.534000158,1,0,160,66,1,159,20,20,0,38,62,0,0,-0.5,0.5,0.5,0.5,0.5,,2020-07-09_16h49.48.637,Tymula Experiment,3.2.3,MacIntel,60
,,right,2.254000187,1,0,160,102,1,159,50,50,0,25,25,0.325,50,0.5,-0.5,-0.5,-0.5,-0.5,,2020-07-09_16h49.48.637,Tymula Experiment,3.2.3,MacIntel,60
,,right,4.730000257,1,0,160,94,1,159,-20,-20,0,25,25,0.325,50,-0.5,0.5,0.5,0.5,0.5,,2020-07-09_16h49.48.637,Tymula Experiment,3.2.3,MacIntel,60
,,left,1.476999998,1,0,160,139,1,159,125,125,0,50,50,0,0,-0.5,0.5,0.5,0.5,0.5,,2020-07-09_16h49.48.637,Tymula Experiment,3.2.3,MacIntel,60
