key_resp_2.keys,key_resp_2.rt,key_resp.keys,key_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials.order,Sure,OptionOne,OptionTwo,Risk,Risk2,AmbiguityBarH,Ambiguity,SureXPos,RiskXPos,OptionOneXPos,OptionTwoXPos,RiskX,participant,date,expName,psychopyVersion,OS,frameRate
space,11.76799989,left,2.586999893,1,0,160,70,1,159,20,20,0,25,25,0.325,50,0.5,-0.5,-0.5,-0.5,-0.5,,2020-08-21_14h31.53.471,Tymula Experiment,3.2.3,Win32,60
,,right,3.45299983,1,0,160,155,1,159,-125,-125,0,50,50,0,0,-0.5,0.5,0.5,0.5,0.5,,2020-08-21_14h31.53.471,Tymula Experiment,3.2.3,Win32,60
,,right,10.70599985,1,0,160,137,1,159,125,125,0,25,75,0,0,-0.5,0.5,0.5,0.5,0.5,,2020-08-21_14h31.53.471,Tymula Experiment,3.2.3,Win32,60
,,left,8.697999954,1,0,160,122,1,159,-50,-50,0,38,62,0,0,0.5,-0.5,-0.5,-0.5,-0.5,,2020-08-21_14h31.53.471,Tymula Experiment,3.2.3,Win32,60
,,right,3.102999926,1,0,160,0,1,159,5,5,0,13,87,0,0,-0.5,0.5,0.5,0.5,0.5,,2020-08-21_14h31.53.471,Tymula Experiment,3.2.3,Win32,60
,,left,0.579999924,1,0,160,99,1,159,50,50,0,50,50,0,0,0.5,-0.5,-0.5,-0.5,-0.5,,2020-08-21_14h31.53.471,Tymula Experiment,3.2.3,Win32,60
,,right,0.342999935,1,0,160,7,1,159,5,5,0,13,13,0.481,74,-0.5,0.5,0.5,0.5,0.5,,2020-08-21_14h31.53.471,Tymula Experiment,3.2.3,Win32,60
,,left,0.238999844,1,0,160,26,1,159,-5,-5,0,38,62,0,0,0.5,-0.5,-0.5,-0.5,-0.5,,2020-08-21_14h31.53.471,Tymula Experiment,3.2.3,Win32,60
,,right,0.311999798,1,0,160,23,1,159,-5,-5,0,13,13,0.481,74,-0.5,0.5,0.5,0.5,0.5,,2020-08-21_14h31.53.471,Tymula Experiment,3.2.3,Win32,60
,,left,0.224999905,1,0,160,151,1,159,-125,-125,0,13,13,0.481,74,-0.5,0.5,0.5,0.5,0.5,,2020-08-21_14h31.53.471,Tymula Experiment,3.2.3,Win32,60
,,right,0.180999756,1,0,160,95,1,159,-20,-20,0,13,13,0.481,74,0.5,-0.5,-0.5,-0.5,-0.5,,2020-08-21_14h31.53.471,Tymula Experiment,3.2.3,Win32,60
,,left,0.207999945,1,0,160,8,1,159,5,5,0,13,87,0,0,0.5,-0.5,-0.5,-0.5,-0.5,,2020-08-21_14h31.53.471,Tymula Experiment,3.2.3,Win32,60
,,right,0.198999882,1,0,160,29,1,159,-5,-5,0,38,38,0.156,24,0.5,-0.5,-0.5,-0.5,-0.5,,2020-08-21_14h31.53.471,Tymula Experiment,3.2.3,Win32,60
,,left,0.250999928,1,0,160,85,1,159,-20,-20,0,38,38,0.156,24,-0.5,0.5,0.5,0.5,0.5,,2020-08-21_14h31.53.471,Tymula Experiment,3.2.3,Win32,60
,,right,0.000999928,1,0,160,61,1,159,-8,-8,0,38,38,0.156,24,0.5,-0.5,-0.5,-0.5,-0.5,,2020-08-21_14h31.53.471,Tymula Experiment,3.2.3,Win32,60
,,right,0.286000013,1,0,160,60,1,159,-8,-8,0,75,25,0,0,-0.5,0.5,0.5,0.5,0.5,,2020-08-21_14h31.53.471,Tymula Experiment,3.2.3,Win32,60
,,left,0.204999924,1,0,160,6,1,159,5,5,0,25,25,0.325,50,0.5,-0.5,-0.5,-0.5,-0.5,,2020-08-21_14h31.53.471,Tymula Experiment,3.2.3,Win32,60
,,right,0.214999914,1,0,160,52,1,159,-8,-8,0,75,25,0,0,-0.5,0.5,0.5,0.5,0.5,,2020-08-21_14h31.53.471,Tymula Experiment,3.2.3,Win32,60
,,left,0.167000055,1,0,160,154,1,159,-125,-125,0,38,62,0,0,0.5,-0.5,-0.5,-0.5,-0.5,,2020-08-21_14h31.53.471,Tymula Experiment,3.2.3,Win32,60
,,right,0.207000017,1,0,160,66,1,159,20,20,0,38,62,0,0,-0.5,0.5,0.5,0.5,0.5,,2020-08-21_14h31.53.471,Tymula Experiment,3.2.3,Win32,60
,,left,0.289999962,1,0,160,116,1,159,-50,-50,0,75,25,0,0,-0.5,0.5,0.5,0.5,0.5,,2020-08-21_14h31.53.471,Tymula Experiment,3.2.3,Win32,60
,,right,0.197999716,1,0,160,118,1,159,-50,-50,0,25,25,0.325,50,0.5,-0.5,-0.5,-0.5,-0.5,,2020-08-21_14h31.53.471,Tymula Experiment,3.2.3,Win32,60
,,left,0.244999886,1,0,160,44,1,159,8,8,0,75,25,0,0,-0.5,0.5,0.5,0.5,0.5,,2020-08-21_14h31.53.471,Tymula Experiment,3.2.3,Win32,60
,,right,0.213999748,1,0,160,126,1,159,-50,-50,0,25,25,0.325,50,-0.5,0.5,0.5,0.5,0.5,,2020-08-21_14h31.53.471,Tymula Experiment,3.2.3,Win32,60
,,left,0.25,1,0,160,28,1,159,-5,-5,0,75,25,0,0,-0.5,0.5,0.5,0.5,0.5,,2020-08-21_14h31.53.471,Tymula Experiment,3.2.3,Win32,60
,,right,0.227999926,1,0,160,21,1,159,-5,-5,0,38,38,0.156,24,-0.5,0.5,0.5,0.5,0.5,,2020-08-21_14h31.53.471,Tymula Experiment,3.2.3,Win32,60
