key_resp_2.keys,key_resp_2.rt,key_resp.keys,key_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials.order,Sure,OptionOne,OptionTwo,Risk,Risk2,AmbiguityBarH,Ambiguity,SureXPos,RiskXPos,OptionOneXPos,OptionTwoXPos,RiskX,participant,date,expName,psychopyVersion,OS,frameRate
space,8.592000008,right,20.60100007,1,0,160,44,1,159,8,8,0,75,25,0,0,-0.5,0.5,0.5,0.5,0.5,country,2020-06-26_11h04.47.593,Tymula Experiment,3.2.3,MacIntel,60
,,left,5.375,1,0,160,115,1,159,-50,-50,0,50,50,0,0,0.5,-0.5,-0.5,-0.5,-0.5,country,2020-06-26_11h04.47.593,Tymula Experiment,3.2.3,MacIntel,60
,,left,0.210000038,1,0,160,71,1,159,20,20,0,13,13,0.481,74,-0.5,0.5,0.5,0.5,0.5,country,2020-06-26_11h04.47.593,Tymula Experiment,3.2.3,MacIntel,60
,,right,6.777000189,1,0,160,57,1,159,-8,-8,0,25,75,0,0,-0.5,0.5,0.5,0.5,0.5,country,2020-06-26_11h04.47.593,Tymula Experiment,3.2.3,MacIntel,60
,,right,2.437000036,1,0,160,148,1,159,-125,-125,0,75,25,0,0,-0.5,0.5,0.5,0.5,0.5,country,2020-06-26_11h04.47.593,Tymula Experiment,3.2.3,MacIntel,60
,,left,6.816000223,1,0,160,64,1,159,20,20,0,13,87,0,0,-0.5,0.5,0.5,0.5,0.5,country,2020-06-26_11h04.47.593,Tymula Experiment,3.2.3,MacIntel,60
,,left,11.9230001,1,0,160,83,1,159,-20,-20,0,50,50,0,0,0.5,-0.5,-0.5,-0.5,-0.5,country,2020-06-26_11h04.47.593,Tymula Experiment,3.2.3,MacIntel,60
,,right,2.738000154,1,0,160,146,1,159,-125,-125,0,38,62,0,0,-0.5,0.5,0.5,0.5,0.5,country,2020-06-26_11h04.47.593,Tymula Experiment,3.2.3,MacIntel,60
,,left,3.101000071,1,0,160,120,1,159,-50,-50,0,13,87,0,0,0.5,-0.5,-0.5,-0.5,-0.5,country,2020-06-26_11h04.47.593,Tymula Experiment,3.2.3,MacIntel,60
,,right,4.971000195,1,0,160,67,1,159,20,20,0,50,50,0,0,0.5,-0.5,-0.5,-0.5,-0.5,country,2020-06-26_11h04.47.593,Tymula Experiment,3.2.3,MacIntel,60
,,right,5.728000164,1,0,160,40,1,159,8,8,0,13,87,0,0,0.5,-0.5,-0.5,-0.5,-0.5,country,2020-06-26_11h04.47.593,Tymula Experiment,3.2.3,MacIntel,60
,,right,7.141000032,1,0,160,101,1,159,50,50,0,38,38,0.156,24,-0.5,0.5,0.5,0.5,0.5,country,2020-06-26_11h04.47.593,Tymula Experiment,3.2.3,MacIntel,60
,,right,8.013000011,1,0,160,46,1,159,8,8,0,25,25,0.325,50,-0.5,0.5,0.5,0.5,0.5,country,2020-06-26_11h04.47.593,Tymula Experiment,3.2.3,MacIntel,60
,,left,8.889000177,1,0,160,52,1,159,-8,-8,0,75,25,0,0,-0.5,0.5,0.5,0.5,0.5,country,2020-06-26_11h04.47.593,Tymula Experiment,3.2.3,MacIntel,60
,,left,9.430999994,1,0,160,43,1,159,8,8,0,50,50,0,0,-0.5,0.5,0.5,0.5,0.5,country,2020-06-26_11h04.47.593,Tymula Experiment,3.2.3,MacIntel,60
,,right,10.09500027,1,0,160,95,1,159,-20,-20,0,13,13,0.481,74,0.5,-0.5,-0.5,-0.5,-0.5,country,2020-06-26_11h04.47.593,Tymula Experiment,3.2.3,MacIntel,60
,,right,7.378000021,1,0,160,156,1,159,-125,-125,0,75,25,0,0,-0.5,0.5,0.5,0.5,0.5,country,2020-06-26_11h04.47.593,Tymula Experiment,3.2.3,MacIntel,60
,,right,13.69300008,1,0,160,77,1,159,20,20,0,38,38,0.156,24,0.5,-0.5,-0.5,-0.5,-0.5,country,2020-06-26_11h04.47.593,Tymula Experiment,3.2.3,MacIntel,60
,,right,2.818000078,1,0,160,109,1,159,50,50,0,38,38,0.156,24,0.5,-0.5,-0.5,-0.5,-0.5,country,2020-06-26_11h04.47.593,Tymula Experiment,3.2.3,MacIntel,60
,,left,3.616000175,1,0,160,29,1,159,-5,-5,0,38,38,0.156,24,0.5,-0.5,-0.5,-0.5,-0.5,country,2020-06-26_11h04.47.593,Tymula Experiment,3.2.3,MacIntel,60
,,right,2.805999994,1,0,160,92,1,159,-20,-20,0,75,25,0,0,-0.5,0.5,0.5,0.5,0.5,country,2020-06-26_11h04.47.593,Tymula Experiment,3.2.3,MacIntel,60
,,right,1.898000002,1,0,160,23,1,159,-5,-5,0,13,13,0.481,74,-0.5,0.5,0.5,0.5,0.5,country,2020-06-26_11h04.47.593,Tymula Experiment,3.2.3,MacIntel,60
,,right,3.026000261,1,0,160,70,1,159,20,20,0,25,25,0.325,50,0.5,-0.5,-0.5,-0.5,-0.5,country,2020-06-26_11h04.47.593,Tymula Experiment,3.2.3,MacIntel,60
,,right,2.447999954,1,0,160,10,1,159,5,5,0,38,62,0,0,0.5,-0.5,-0.5,-0.5,-0.5,country,2020-06-26_11h04.47.593,Tymula Experiment,3.2.3,MacIntel,60
,,right,1.907999992,1,0,160,134,1,159,125,125,0,25,25,0.325,50,0.5,-0.5,-0.5,-0.5,-0.5,country,2020-06-26_11h04.47.593,Tymula Experiment,3.2.3,MacIntel,60
,,left,1.710999966,1,0,160,90,1,159,-20,-20,0,38,62,0,0,0.5,-0.5,-0.5,-0.5,-0.5,country,2020-06-26_11h04.47.593,Tymula Experiment,3.2.3,MacIntel,60
,,right,1.32400012,1,0,160,79,1,159,20,20,0,13,13,0.481,74,0.5,-0.5,-0.5,-0.5,-0.5,country,2020-06-26_11h04.47.593,Tymula Experiment,3.2.3,MacIntel,60
,,left,1.371999979,1,0,160,5,1,159,5,5,0,38,38,0.156,24,-0.5,0.5,0.5,0.5,0.5,country,2020-06-26_11h04.47.593,Tymula Experiment,3.2.3,MacIntel,60
,,right,2.448000193,1,0,160,123,1,159,-50,-50,0,50,50,0,0,-0.5,0.5,0.5,0.5,0.5,country,2020-06-26_11h04.47.593,Tymula Experiment,3.2.3,MacIntel,60
,,left,1.736999989,1,0,160,128,1,159,125,125,0,13,87,0,0,-0.5,0.5,0.5,0.5,0.5,country,2020-06-26_11h04.47.593,Tymula Experiment,3.2.3,MacIntel,60
,,left,6.410000086,1,0,160,113,1,159,-50,-50,0,25,75,0,0,0.5,-0.5,-0.5,-0.5,-0.5,country,2020-06-26_11h04.47.593,Tymula Experiment,3.2.3,MacIntel,60
,,left,5.578000069,1,0,160,19,1,159,-5,-5,0,50,50,0,0,0.5,-0.5,-0.5,-0.5,-0.5,country,2020-06-26_11h04.47.593,Tymula Experiment,3.2.3,MacIntel,60
,,left,8.167000294,1,0,160,7,1,159,5,5,0,13,13,0.481,74,-0.5,0.5,0.5,0.5,0.5,country,2020-06-26_11h04.47.593,Tymula Experiment,3.2.3,MacIntel,60
,,left,3.48300004,1,0,160,132,1,159,125,125,0,75,25,0,0,-0.5,0.5,0.5,0.5,0.5,country,2020-06-26_11h04.47.593,Tymula Experiment,3.2.3,MacIntel,60
,,left,2.526000023,1,0,160,39,1,159,8,8,0,13,13,0.481,74,-0.5,0.5,0.5,0.5,0.5,country,2020-06-26_11h04.47.593,Tymula Experiment,3.2.3,MacIntel,60
,,right,13.76999998,1,0,160,158,1,159,-125,-125,0,25,25,0.325,50,-0.5,0.5,0.5,0.5,0.5,country,2020-06-26_11h04.47.593,Tymula Experiment,3.2.3,MacIntel,60
,,left,3.232000113,1,0,160,54,1,159,-8,-8,0,25,25,0.325,50,0.5,-0.5,-0.5,-0.5,-0.5,country,2020-06-26_11h04.47.593,Tymula Experiment,3.2.3,MacIntel,60
,,right,2.450000286,1,0,160,117,1,159,-50,-50,0,38,38,0.156,24,-0.5,0.5,0.5,0.5,0.5,country,2020-06-26_11h04.47.593,Tymula Experiment,3.2.3,MacIntel,60
,,left,2.168000221,1,0,160,73,1,159,20,20,0,25,75,0,0,-0.5,0.5,0.5,0.5,0.5,country,2020-06-26_11h04.47.593,Tymula Experiment,3.2.3,MacIntel,60
,,left,1.856000185,1,0,160,137,1,159,125,125,0,25,75,0,0,-0.5,0.5,0.5,0.5,0.5,country,2020-06-26_11h04.47.593,Tymula Experiment,3.2.3,MacIntel,60
,,left,3.913000107,1,0,160,93,1,159,-20,-20,0,38,38,0.156,24,0.5,-0.5,-0.5,-0.5,-0.5,country,2020-06-26_11h04.47.593,Tymula Experiment,3.2.3,MacIntel,60
,,left,2.345000029,1,0,160,142,1,159,125,125,0,25,25,0.325,50,-0.5,0.5,0.5,0.5,0.5,country,2020-06-26_11h04.47.593,Tymula Experiment,3.2.3,MacIntel,60
,,left,3.321000099,1,0,160,140,1,159,125,125,0,75,25,0,0,-0.5,0.5,0.5,0.5,0.5,country,2020-06-26_11h04.47.593,Tymula Experiment,3.2.3,MacIntel,60
,,right,3.494000196,1,0,160,38,1,159,8,8,0,25,25,0.325,50,0.5,-0.5,-0.5,-0.5,-0.5,country,2020-06-26_11h04.47.593,Tymula Experiment,3.2.3,MacIntel,60
,,right,6.710000277,1,0,160,126,1,159,-50,-50,0,25,25,0.325,50,-0.5,0.5,0.5,0.5,0.5,country,2020-06-26_11h04.47.593,Tymula Experiment,3.2.3,MacIntel,60
,,right,3.867000103,1,0,160,3,1,159,5,5,0,50,50,0,0,0.5,-0.5,-0.5,-0.5,-0.5,country,2020-06-26_11h04.47.593,Tymula Experiment,3.2.3,MacIntel,60
,,left,3.98300004,1,0,160,88,1,159,-20,-20,0,13,87,0,0,0.5,-0.5,-0.5,-0.5,-0.5,country,2020-06-26_11h04.47.593,Tymula Experiment,3.2.3,MacIntel,60
,,left,1.548000097,1,0,160,154,1,159,-125,-125,0,38,62,0,0,0.5,-0.5,-0.5,-0.5,-0.5,country,2020-06-26_11h04.47.593,Tymula Experiment,3.2.3,MacIntel,60
,,left,1.673000097,1,0,160,81,1,159,-20,-20,0,25,75,0,0,0.5,-0.5,-0.5,-0.5,-0.5,country,2020-06-26_11h04.47.593,Tymula Experiment,3.2.3,MacIntel,60
,,right,2.921000004,1,0,160,82,1,159,-20,-20,0,38,62,0,0,-0.5,0.5,0.5,0.5,0.5,country,2020-06-26_11h04.47.593,Tymula Experiment,3.2.3,MacIntel,60
,,right,2.180000067,1,0,160,15,1,159,5,5,0,13,13,0.481,74,0.5,-0.5,-0.5,-0.5,-0.5,country,2020-06-26_11h04.47.593,Tymula Experiment,3.2.3,MacIntel,60
,,right,1.142000198,1,0,160,131,1,159,125,125,0,50,50,0,0,0.5,-0.5,-0.5,-0.5,-0.5,country,2020-06-26_11h04.47.593,Tymula Experiment,3.2.3,MacIntel,60
,,left,1.294000149,1,0,160,61,1,159,-8,-8,0,38,38,0.156,24,0.5,-0.5,-0.5,-0.5,-0.5,country,2020-06-26_11h04.47.593,Tymula Experiment,3.2.3,MacIntel,60
,,left,3.092000246,1,0,160,96,1,159,50,50,0,13,87,0,0,-0.5,0.5,0.5,0.5,0.5,country,2020-06-26_11h04.47.593,Tymula Experiment,3.2.3,MacIntel,60
,,right,4.818000078,1,0,160,24,1,159,-5,-5,0,13,87,0,0,0.5,-0.5,-0.5,-0.5,-0.5,country,2020-06-26_11h04.47.593,Tymula Experiment,3.2.3,MacIntel,60
,,right,8.26699996,1,0,160,47,1,159,8,8,0,13,13,0.481,74,0.5,-0.5,-0.5,-0.5,-0.5,country,2020-06-26_11h04.47.593,Tymula Experiment,3.2.3,MacIntel,60
,,right,2.333000183,1,0,160,85,1,159,-20,-20,0,38,38,0.156,24,-0.5,0.5,0.5,0.5,0.5,country,2020-06-26_11h04.47.593,Tymula Experiment,3.2.3,MacIntel,60
,,left,3.014000177,1,0,160,75,1,159,20,20,0,50,50,0,0,-0.5,0.5,0.5,0.5,0.5,country,2020-06-26_11h04.47.593,Tymula Experiment,3.2.3,MacIntel,60
,,left,2.822000027,1,0,160,157,1,159,-125,-125,0,38,38,0.156,24,0.5,-0.5,-0.5,-0.5,-0.5,country,2020-06-26_11h04.47.593,Tymula Experiment,3.2.3,MacIntel,60
,,right,3.694000244,1,0,160,1,1,159,5,5,0,25,75,0,0,0.5,-0.5,-0.5,-0.5,-0.5,country,2020-06-26_11h04.47.593,Tymula Experiment,3.2.3,MacIntel,60
,,left,3.847000122,1,0,160,110,1,159,50,50,0,25,25,0.325,50,-0.5,0.5,0.5,0.5,0.5,country,2020-06-26_11h04.47.593,Tymula Experiment,3.2.3,MacIntel,60
,,left,6.031000137,1,0,160,0,1,159,5,5,0,13,87,0,0,-0.5,0.5,0.5,0.5,0.5,country,2020-06-26_11h04.47.593,Tymula Experiment,3.2.3,MacIntel,60
,,left,4.447000265,1,0,160,125,1,159,-50,-50,0,38,38,0.156,24,0.5,-0.5,-0.5,-0.5,-0.5,country,2020-06-26_11h04.47.593,Tymula Experiment,3.2.3,MacIntel,60
,,left,2.722000122,1,0,160,147,1,159,-125,-125,0,50,50,0,0,0.5,-0.5,-0.5,-0.5,-0.5,country,2020-06-26_11h04.47.593,Tymula Experiment,3.2.3,MacIntel,60
,,right,2.674000025,1,0,160,53,1,159,-8,-8,0,38,38,0.156,24,-0.5,0.5,0.5,0.5,0.5,country,2020-06-26_11h04.47.593,Tymula Experiment,3.2.3,MacIntel,60
,,right,2.976000071,1,0,160,102,1,159,50,50,0,25,25,0.325,50,0.5,-0.5,-0.5,-0.5,-0.5,country,2020-06-26_11h04.47.593,Tymula Experiment,3.2.3,MacIntel,60
,,right,2.374000072,1,0,160,111,1,159,50,50,0,13,13,0.481,74,0.5,-0.5,-0.5,-0.5,-0.5,country,2020-06-26_11h04.47.593,Tymula Experiment,3.2.3,MacIntel,60
,,left,2.309000015,1,0,160,17,1,159,-5,-5,0,25,75,0,0,0.5,-0.5,-0.5,-0.5,-0.5,country,2020-06-26_11h04.47.593,Tymula Experiment,3.2.3,MacIntel,60
